id,name,website,entity_type,cxo_roles,categories,headquarters,geographies,founded_year,verification_status
"ent_escalon","Escalon","https://escalon.services/","Organization","CEO|CFO|CHRO","Finance Advisory|Accounting|HR Technology","","United States","","verified"
"ent_findem","Findem","https://www.findem.ai/","Organization","CHRO","HR Technology|Recruiting|Artificial Intelligence","","United States","","verified"
"ent_rippling","Rippling","https://www.rippling.com/","Organization","CFO|CIO|CHRO","HR Technology|Enterprise Technology","","United States","","verified"
"ent_deel","Deel","https://www.deel.com/","Organization","CFO|CHRO|CLO","HR Technology","","United States","","verified"
"ent_lattice","Lattice","https://lattice.com/","Organization","CHRO","HR Technology","","United States","","verified"
"ent_trinet","TriNet","https://www.trinet.com/","Organization","CFO|CHRO","HR Technology","","United States","","verified"
"ent_insperity","Insperity","https://www.insperity.com/","Organization","CFO|CHRO","HR Technology","","United States","","verified"
"ent_15five","15Five","https://www.15five.com/","Organization","CHRO","HR Technology","","United States","","verified"
"ent_optimhire","OptimHire","https://optimhire.com/","Organization","CHRO|CTO","Recruiting|HR Technology","","United States","","verified"
"ent_transform","Transform","https://transform.us/","Organization","CHRO|CEO","Executive Communities|Conferences|HR Technology","","United States","","verified"
