id,name,website,entity_type,cxo_roles,categories,headquarters,geographies,founded_year,verification_status
"ent_adaptive_security","Adaptive Security","https://www.adaptivesecurity.com/","Organization","CISO","AI Security|Cybersecurity","","United States","","verified"
"ent_witnessai","WitnessAI","https://witness.ai/","Organization","CISO|CIO","AI Security|Cybersecurity|Artificial Intelligence","","United States","","verified"
"ent_airmdr","AirMDR","https://www.airmdr.com/","Organization","CISO","Cybersecurity|AI Security","","United States","","verified"
"ent_resemble_ai","Resemble AI","https://www.resemble.ai/","Organization","CIO|CTO|CISO","Artificial Intelligence|AI Security","","United States","","verified"
"ent_agentic_fabriq","Agentic Fabriq","https://agenticfabriq.com/","Organization","CISO|CIO|CTO","AI Security|Agent Identity|Identity and Access Management|AI Infrastructure","San Francisco, California, United States","United States","2025","verified"
"ent_axari_technologies_inc","Axari Technologies, Inc.","https://axari.ai/","Organization","CISO|CIO","Cybersecurity|AI Security|GRC Automation|AI Agents","","United States","","verified"
"ent_harden","Harden","https://harden.run/","Organization","CISO|CTO|CIO","AI Security|Application Security|Runtime Security|Cybersecurity","","United States","","verified"
"ent_tenet_security","Tenet Security","https://tenetsecurity.ai/","Organization","CISO|CTO|CIO","AI Security|Runtime Security|Cybersecurity","","United States","","verified"
"ent_aegisai","AegisAI","https://aegisai.ai/","Organization","CISO|CIO","Email Security|AI Security|Cybersecurity","","United States","","verified"
"ent_counterrun_ai","CounterRun.ai","https://counterrun.ai/","Organization","CISO","AI Security|Cybersecurity","","United States","","verified"
"ent_atomic_zero","Atomic Zero","https://atomiczero.io/","Organization","CISO|CIO","Cybersecurity|AI Security|Consulting","","United States","","verified"
