id,name,website,entity_type,primary_category,secondary_categories,cxo_roles,categories,headquarters,geographies,founded_year,verification_status
"ent_bank_of_america","Bank of America","https://www.bankofamerica.com/","bank","Banks","Investment Banks|Wealth Management","CEO|CFO|Board","Banks|Investment Banks|Wealth Management","","United States|New York|Chicago|Los Angeles|London|Singapore","","verified"
"ent_citi","Citi","https://www.citigroup.com/","bank","Banks","Investment Banks|Wealth Management","CEO|CFO|Board","Banks|Investment Banks|Wealth Management","","United States|New York|London|Singapore","","verified"
"ent_hsbc","HSBC","https://www.hsbc.com/","bank","Banks","Investment Banks|Wealth Management","CEO|CFO|Board","Banks|Investment Banks|Wealth Management","","United States|New York|London|Singapore","","verified"
"ent_evercore","Evercore","https://www.evercore.com/","investment bank","Investment Banks","M&A Advisors","CEO|CFO|Board","Investment Banks|M&A Advisors","","United States|New York|San Francisco Bay Area|London","","verified"
"ent_lazard","Lazard","https://www.lazard.com/","investment bank","Investment Banks","M&A Advisors|Wealth Management","CEO|CFO|Board","Investment Banks|M&A Advisors|Wealth Management","","United States|New York|San Francisco Bay Area|London","","verified"
"ent_houlihan_lokey","Houlihan Lokey","https://www.hl.com/","investment bank","Investment Banks","M&A Advisors|Finance Advisory","CEO|CFO|Board","Investment Banks|M&A Advisors|Finance Advisory","","United States|Los Angeles|New York|San Francisco Bay Area|London","","verified"
"ent_jpmorgan","JPMorgan Chase","https://www.jpmorganchase.com/","bank","Banks","Investment Banks|Wealth Management","CEO|CFO|Board","Banks|Investment Banks|Wealth Management","","United States|New York|London|Singapore","","verified"
"ent_capital_one","Capital One","https://www.capitalone.com/","Financial institution","Banks","Payments","CEO|CFO","Banks|Payments","","United States","","verified"
"ent_first_citizens_bank","First Citizens Bank","https://www.firstcitizens.com/","Organization","Banks","Wealth Management","CEO|CFO","Banks|Wealth Management","","United States","","verified"
"ent_silicon_valley_bank","Silicon Valley Bank","https://www.svb.com/","Organization","Banks","","CEO|CFO","Banks","","United States","","verified"
"ent_wells_fargo","Wells Fargo","https://www.wellsfargo.com/","Organization","Banks","Investment Banks|Wealth Management","CEO|CFO","Banks|Investment Banks|Wealth Management","","United States","","verified"
"ent_citizens_private_bank","Citizens Private Bank","https://www.citizensprivatebank.com/","Organization","Banks","Wealth Management","CEO|CFO","Banks|Wealth Management","","United States","","verified"
"ent_bmo","BMO","https://www.bmo.com/","Organization","Banks","Investment Banks|Wealth Management","CEO|CFO","Banks|Investment Banks|Wealth Management","","United States","","verified"
"ent_morgan_stanley","Morgan Stanley","https://www.morganstanley.com/","Organization","Investment Banks","Wealth Management","CEO|CFO|Board","Investment Banks|Wealth Management","","United States","","verified"
"ent_comerica","Comerica","https://www.comerica.com/","Organization","Banks","Wealth Management","CEO|CFO","Banks|Wealth Management","","United States","","verified"
"ent_stifel","Stifel","https://www.stifel.com/","Organization","Investment Banks","Wealth Management","CEO|CFO","Investment Banks|Wealth Management","","United States","","verified"
"ent_deutsche_bank","Deutsche Bank","https://www.db.com/","Organization","Banks","Investment Banks|Wealth Management","CEO|CFO","Banks|Investment Banks|Wealth Management","","United States","","verified"
"ent_bny","BNY","https://www.bny.com/","Organization","Banks","Wealth Management","CEO|CFO","Banks|Wealth Management","","United States","","verified"
"ent_leader_bank","Leader Bank","https://www.leaderbank.com/","Organization","Banks","","CEO|CFO","Banks","","United States","","verified"
"ent_brighttower","BrightTower","https://www.brighttower.com/","Organization","Investment Banks","M&A Advisors","CEO|CFO","Investment Banks|M&A Advisors","","United States","","verified"
"ent_intrepid_investment_bankers","Intrepid Investment Bankers","https://intrepidib.com/","Organization","Investment Banks","M&A Advisors","CEO|CFO","Investment Banks|M&A Advisors","","United States","","verified"
"ent_capital_ip_investment_partners","Capital IP Investment Partners","https://capitalip.com/","Organization","Venture Capital","Investment Banks|M&A Advisors","CEO|CFO","Venture Capital|Investment Banks|M&A Advisors","","United States","","verified"
"ent_indian_hills_advisors","Indian Hills Advisors","https://indianhillsadvisors.com/","Organization","M&A Advisors","Investment Banks","CEO|CFO","M&A Advisors|Investment Banks","","United States","","verified"
