id,name,website,entity_type,primary_category,secondary_categories,cxo_roles,categories,headquarters,geographies,geography_status,founded_year,verification_status
"ent_adp","ADP","https://www.adp.com/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_paychex","Paychex","https://www.paychex.com/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_ukg","UKG","https://www.ukg.com/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_bamboohr","BambooHR","https://www.bamboohr.com/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_greenhouse","Greenhouse","https://www.greenhouse.com/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_lever","Lever","https://www.lever.co/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_cornerstone_ondemand","Cornerstone OnDemand","https://www.cornerstoneondemand.com/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_culture_amp","Culture Amp","https://www.cultureamp.com/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_betterup","BetterUp","https://www.betterup.com/","human resources technology company","HR Technology","Executive Coaching","CHRO|CIO|CEO","HR Technology|Executive Coaching","","United States","verified","","verified"
"ent_eightfold_ai","Eightfold AI","https://eightfold.ai/","human resources technology company","HR Technology","Artificial Intelligence","CHRO|CIO|CEO","HR Technology|Artificial Intelligence","","United States","verified","","verified"
"ent_paradox","Paradox","https://www.paradox.ai/","human resources technology company","HR Technology","Artificial Intelligence","CHRO|CIO|CEO","HR Technology|Artificial Intelligence","","United States","verified","","verified"
"ent_beamery","Beamery","https://beamery.com/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_workhuman","Workhuman","https://www.workhuman.com/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_paycom","Paycom","https://www.paycom.com/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_dayforce","Dayforce","https://www.dayforce.com/","human resources technology company","HR Technology","","CHRO|CIO|CEO","HR Technology","","United States","verified","","verified"
"ent_escalon","Escalon","https://escalon.services/","Organization","Finance Advisory","Accounting|HR Technology","CEO|CFO|CHRO","Finance Advisory|Accounting|HR Technology","","United States","verified","2006","verified"
"ent_findem","Findem","https://www.findem.ai/","Organization","HR Technology","Recruiting|Artificial Intelligence","CHRO","HR Technology|Recruiting|Artificial Intelligence","Redwood City, California, United States","United States","verified","","verified"
"ent_rippling","Rippling","https://www.rippling.com/","Organization","HR Technology","Enterprise Technology","CFO|CIO|CHRO","HR Technology|Enterprise Technology","San Francisco, California, United States","United States|San Francisco Bay Area|New York|Austin|Seattle|London|Singapore","verified","","verified"
"ent_deel","Deel","https://www.deel.com/","Organization","HR Technology","","CFO|CHRO|CLO","HR Technology","","United States","verified","2019","verified"
"ent_lattice","Lattice","https://lattice.com/","Organization","HR Technology","","CHRO","HR Technology","San Francisco, California, United States","United States|San Francisco Bay Area|London","verified","","verified"
"ent_trinet","TriNet","https://www.trinet.com/","Organization","HR Technology","","CFO|CHRO","HR Technology","","United States","verified","1988","verified"
"ent_insperity","Insperity","https://www.insperity.com/","Organization","HR Technology","","CFO|CHRO","HR Technology","Kingwood, Texas, United States","United States","verified","1986","verified"
"ent_15five","15Five","https://www.15five.com/","Organization","HR Technology","","CHRO","HR Technology","","United States","verified","2011","verified"
"ent_optimhire","OptimHire","https://optimhire.com/","Organization","Recruiting","HR Technology","CHRO|CTO","Recruiting|HR Technology","","","verified","","verified"
"ent_transform","Transform","https://transform.us/","Organization","Executive Communities","Conferences|HR Technology","CHRO|CEO","Executive Communities|Conferences|HR Technology","","","unknown","","verified"
