id,name,website,entity_type,primary_category,secondary_categories,cxo_roles,categories,headquarters,geographies,geography_status,founded_year,verification_status
"ent_vistage","Vistage","https://www.vistage.com/","executive community","Executive Communities","Executive Coaching","CEO","Executive Communities|Executive Coaching","","","unknown","","verified"
"ent_entrepreneurs_organization","Entrepreneurs' Organization","https://eonetwork.org/","executive community","Executive Communities","Corporate Membership Organizations","CEO","Executive Communities|Corporate Membership Organizations","","","unknown","","verified"
"ent_pavilion","Pavilion","https://www.joinpavilion.com/","executive community","Executive Communities","Executive Education","CEO|CMO|COO","Executive Communities|Executive Education","","","unknown","","verified"
"ent_open_future_forum","Open Future Forum","https://openfutureforum.com/","executive community","Executive Communities","","CEO|CFO|CMO|CISO|CTO|Board","Executive Communities","","United States|Silicon Valley|San Francisco Bay Area","verified","2019","verified"
"ent_chief","Chief","https://chief.com/","executive community","Executive Communities","Corporate Membership Organizations","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|CLO|General Counsel|Board","Executive Communities|Corporate Membership Organizations","","","unknown","","verified"
"ent_young_presidents_organization","YPO","https://www.ypo.org/","executive community","Executive Communities","Corporate Membership Organizations","CEO","Executive Communities|Corporate Membership Organizations","","United States","verified","1950","verified"
"ent_financial_executives_international","Financial Executives International","https://www.financialexecutives.org/","professional association","Professional Associations","Executive Communities","CFO|CEO","Professional Associations|Executive Communities","","United States","verified","","verified"
"ent_association_for_corporate_growth","Association for Corporate Growth","https://www.acg.org/","Organization","Professional Associations","Executive Communities","CEO|CFO","Professional Associations|Executive Communities","","United States|London","verified","1954","verified"
"ent_young_entrepreneur_council","Young Entrepreneur Council","https://yec.co/","Organization","Executive Communities","Professional Associations","CEO","Executive Communities|Professional Associations","","United States","verified","","verified"
"ent_hacker_dojo","Hacker Dojo","https://hackerdojo.org/","Organization","Executive Communities","","CEO|CTO","Executive Communities","","","unknown","","verified"
"ent_transform","Transform","https://transform.us/","Organization","Executive Communities","Conferences|HR Technology","CHRO|CEO","Executive Communities|Conferences|HR Technology","","","unknown","","verified"
"ent_open_batch","Open Batch","https://openbatch.ai/","Organization","Executive Communities","Startup Programs|Accelerators","CEO","Executive Communities|Startup Programs|Accelerators","","","unknown","","verified"
