id,name,website,entity_type,primary_category,secondary_categories,cxo_roles,categories,headquarters,geographies,geography_status,founded_year,verification_status
"ent_korn_ferry","Korn Ferry","https://www.kornferry.com/","executive search firm","Executive Search","Consulting|Board Advisory","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|CLO|Board","Executive Search|Consulting|Board Advisory","","","unknown","","verified"
"ent_russell_reynolds_associates","Russell Reynolds Associates","https://www.russellreynolds.com/","executive search firm","Executive Search","Board Advisory","CEO|CFO|CMO|CIO|CTO|COO|CHRO|CLO|Board","Executive Search|Board Advisory","","","unknown","","verified"
"ent_heidrick_struggles","Heidrick & Struggles","https://www.heidrick.com/","executive search firm","Executive Search","Consulting|Board Advisory","CEO|CFO|CMO|CIO|CTO|COO|CHRO|CLO|Board","Executive Search|Consulting|Board Advisory","","","unknown","","verified"
"ent_spencer_stuart","Spencer Stuart","https://www.spencerstuart.com/","executive search firm","Executive Search","Board Advisory","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|CLO|General Counsel|Board","Executive Search|Board Advisory","","","unknown","","verified"
"ent_egon_zehnder","Egon Zehnder","https://www.egonzehnder.com/","professional services organization","Executive Search","Board Advisory","CEO|CFO|CIO|COO|Board","Executive Search|Board Advisory","","United States","verified","","verified"
"ent_ema_partners","EMA Partners","https://www.ema-partners.com/","professional services firm","Executive Search","Board Advisory","CEO|CFO|CIO|COO|Board","Executive Search|Board Advisory","","United States","verified","","verified"
"ent_kestria","Kestria","https://www.kestria.com/","professional services firm","Executive Search","Board Advisory","CEO|CFO|CIO|COO|Board","Executive Search|Board Advisory","","United States","verified","","verified"
"ent_boyden","Boyden","https://www.boyden.com/","professional services firm","Executive Search","Board Advisory","CEO|CFO|CIO|COO|Board","Executive Search|Board Advisory","","United States","verified","","verified"
"ent_odgers_berndtson","Odgers Berndtson","https://www.odgers.com/","professional services firm","Executive Search","Board Advisory","CEO|CFO|CIO|COO|Board","Executive Search|Board Advisory","","United States","verified","","verified"
"ent_pagegroup","PageGroup","https://www.page.com/","professional services firm","Executive Search","Recruiting","CEO|CFO|CIO|COO|Board","Executive Search|Recruiting","","United States","verified","","verified"
"ent_caldwell","Caldwell","https://www.caldwell.com/","professional services firm","Executive Search","Board Advisory","CEO|CFO|CIO|COO|Board","Executive Search|Board Advisory","","United States","verified","","verified"
"ent_dhr_global","DHR Global","https://www.dhrglobal.com/","professional services firm","Executive Search","Board Advisory","CEO|CFO|CIO|COO|Board","Executive Search|Board Advisory","","United States","verified","","verified"
"ent_raines_international","Raines International","https://rainesinternational.com/","professional services firm","Executive Search","Board Advisory","CEO|CFO|CIO|COO|Board","Executive Search|Board Advisory","","United States","verified","","verified"
"ent_n2growth","N2Growth","https://www.n2growth.com/","professional services firm","Executive Search","Board Advisory","CEO|CFO|CIO|COO|Board","Executive Search|Board Advisory","","United States","verified","","verified"
"ent_hays","Hays","https://www.hays.com/","professional services firm","Recruiting","Executive Search","CEO|CFO|CIO|COO|Board","Recruiting|Executive Search","","United States","verified","","verified"
"ent_kingsley_gate","Kingsley Gate","https://www.kingsleygate.com/","professional services firm","Executive Search","Board Advisory","CEO|CFO|CIO|COO|Board","Executive Search|Board Advisory","","United States","verified","","verified"
"ent_russell_tobin","Russell Tobin","https://russelltobin.com/","professional services firm","Recruiting","Executive Search","CEO|CFO|CIO|COO|Board","Recruiting|Executive Search","","United States","verified","","verified"
"ent_zrg","ZRG","https://www.zrgpartners.com/","Organization","Executive Search","Consulting","CEO|CHRO|Board","Executive Search|Consulting","Rochelle Park, New Jersey, United States","United States|New York|Boston|Austin|Los Angeles|Chicago|Washington DC|London|Singapore","verified","","verified"
"ent_robert_half","Robert Half","https://www.roberthalf.com/","Organization","Recruiting","Consulting","CFO|CIO|CHRO","Recruiting|Consulting","Menlo Park, California, United States","","unknown","1948","verified"
"ent_findem","Findem","https://www.findem.ai/","Organization","HR Technology","Recruiting|Artificial Intelligence","CHRO","HR Technology|Recruiting|Artificial Intelligence","Redwood City, California, United States","United States","verified","","verified"
"ent_optimhire","OptimHire","https://optimhire.com/","Organization","Recruiting","HR Technology","CHRO|CTO","Recruiting|HR Technology","","","verified","","verified"
