entity_id,name,slug,primary_category,editorial_priority,score,tier,source_count,fact_count,last_verified,research_priority,missing_criteria
"ent_agentrys","Agentrys","agentrys","Artificial Intelligence","B","35","basic","1","9","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_atomic_zero","Atomic Zero","atomic-zero","Cybersecurity","B","35","basic","1","9","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_bernstein","Bernstein","bernstein","Wealth Management","B","35","basic","1","9","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_capital_ip_investment_partners","Capital IP Investment Partners","capital-ip-investment-partners","Venture Capital","B","35","basic","1","9","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_chameleon_ventures","Chameleon Ventures","chameleon-ventures","Venture Capital","B","35","basic","1","6","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_era_group","ERA Group","era-group","Consulting","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_granica","Granica","granica","AI Infrastructure","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_gumloop","Gumloop","gumloop","Artificial Intelligence","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_harvey","Harvey","harvey","Legal Technology","B","35","basic","1","9","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_herculesai","HerculesAI","herculesai","Artificial Intelligence","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_intuit","Intuit","intuit","Accounting Software","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_mastercard","Mastercard","mastercard","Payments","B","35","basic","1","9","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_mercury","Mercury","mercury","Banking Platforms","B","35","basic","1","9","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
"ent_nanostar_ventures","Nanostar Ventures","nanostar-ventures","Venture Capital","B","35","basic","1","8","2026-08-11","P1","founded_year|headquarters|operating_geography|offerings|industries|semantic_profile|source_breadth|fact_depth"
